state,vaccine_rec,hospital_rec,doctor_rec,supply_chain_rec,budget_rec,priority,recommendation
Andaman and Nicobar Islands,"Increase vaccine stock by 90,120 doses. Maintain 8 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Critical doctor shortage projected: recruit 171 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 573.10 Cr. Breakdown — Operations: 95.2%, Vaccine: 0.3%, Infrastructure: 4.5%. Priority Tier: Low Priority.",Low Priority,"Increase vaccine stock by 90,120 doses. Maintain 8 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Critical doctor shortage projected: recruit 171 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 573.10 Cr. Breakdown — Operations: 95.2%, Vaccine: 0.3%, Infrastructure: 4.5%. Priority Tier: Low Priority."
Andhra Pradesh,"Increase vaccine stock by 6,513,389 doses. Maintain 551 cold chain units for distribution.","Build 12 new hospitals. Add 1,180 beds to meet WHO standard of 3 beds/1000 population.",Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 51,007.34 Cr. Breakdown — Operations: 99.4%, Vaccine: 0.3%, Infrastructure: 0.4%. Priority Tier: Critical Priority.",Critical Priority,"Increase vaccine stock by 6,513,389 doses. Maintain 551 cold chain units for distribution. | Build 12 new hospitals. Add 1,180 beds to meet WHO standard of 3 beds/1000 population. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 51,007.34 Cr. Breakdown — Operations: 99.4%, Vaccine: 0.3%, Infrastructure: 0.4%. Priority Tier: Critical Priority."
Arunachal Pradesh,"Increase vaccine stock by 257,869 doses. Maintain 22 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 1,416.72 Cr. Breakdown — Operations: 99.6%, Vaccine: 0.4%, Infrastructure: 0.0%. Priority Tier: Low Priority.",Low Priority,"Increase vaccine stock by 257,869 doses. Maintain 22 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 1,416.72 Cr. Breakdown — Operations: 99.6%, Vaccine: 0.4%, Infrastructure: 0.0%. Priority Tier: Low Priority."
Assam,"Increase vaccine stock by 3,202,346 doses. Maintain 271 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 19,280.11 Cr. Breakdown — Operations: 99.7%, Vaccine: 0.3%, Infrastructure: 0.0%. Priority Tier: High Priority.",High Priority,"Increase vaccine stock by 3,202,346 doses. Maintain 271 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 19,280.11 Cr. Breakdown — Operations: 99.7%, Vaccine: 0.3%, Infrastructure: 0.0%. Priority Tier: High Priority."
Bihar,"Increase vaccine stock by 7,206,203 doses. Maintain 610 cold chain units for distribution.","Build 129 new hospitals. Add 12,877 beds to meet WHO standard of 3 beds/1000 population.",Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring.,"Recommended total budget for 2028-29: Rs 35,992.68 Cr. Breakdown — Operations: 94.2%, Vaccine: 0.4%, Infrastructure: 5.4%. Priority Tier: High Priority.",High Priority,"Increase vaccine stock by 7,206,203 doses. Maintain 610 cold chain units for distribution. | Build 129 new hospitals. Add 12,877 beds to meet WHO standard of 3 beds/1000 population. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring. | Recommended total budget for 2028-29: Rs 35,992.68 Cr. Breakdown — Operations: 94.2%, Vaccine: 0.4%, Infrastructure: 5.4%. Priority Tier: High Priority."
Chandigarh,"Increase vaccine stock by 241,899 doses. Maintain 21 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Critical doctor shortage projected: recruit 457 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 1,776.87 Cr. Breakdown — Operations: 95.9%, Vaccine: 0.3%, Infrastructure: 3.9%. Priority Tier: Medium Priority.",Medium Priority,"Increase vaccine stock by 241,899 doses. Maintain 21 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Critical doctor shortage projected: recruit 457 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 1,776.87 Cr. Breakdown — Operations: 95.9%, Vaccine: 0.3%, Infrastructure: 3.9%. Priority Tier: Medium Priority."
Chhattisgarh,"Increase vaccine stock by 3,298,771 doses. Maintain 279 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 12,674.91 Cr. Breakdown — Operations: 99.5%, Vaccine: 0.5%, Infrastructure: 0.0%. Priority Tier: High Priority.",High Priority,"Increase vaccine stock by 3,298,771 doses. Maintain 279 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 12,674.91 Cr. Breakdown — Operations: 99.5%, Vaccine: 0.5%, Infrastructure: 0.0%. Priority Tier: High Priority."
Dadra and Nagar Haveli and Daman and Diu,"Increase vaccine stock by 107,010 doses. Maintain 10 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Critical doctor shortage projected: recruit 202 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 520.76 Cr. Breakdown — Operations: 93.8%, Vaccine: 0.4%, Infrastructure: 5.8%. Priority Tier: Low Priority.",Low Priority,"Increase vaccine stock by 107,010 doses. Maintain 10 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Critical doctor shortage projected: recruit 202 doctors by 2028-29. Open new medical college seats and launch rural health incentive schemes. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 520.76 Cr. Breakdown — Operations: 93.8%, Vaccine: 0.4%, Infrastructure: 5.8%. Priority Tier: Low Priority."
Delhi,"Increase vaccine stock by 3,048,777 doses. Maintain 258 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 18,073.71 Cr. Breakdown — Operations: 99.7%, Vaccine: 0.3%, Infrastructure: 0.0%. Priority Tier: High Priority.",High Priority,"Increase vaccine stock by 3,048,777 doses. Maintain 258 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 18,073.71 Cr. Breakdown — Operations: 99.7%, Vaccine: 0.3%, Infrastructure: 0.0%. Priority Tier: High Priority."
Goa,"Increase vaccine stock by 401,574 doses. Maintain 34 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 2,150.69 Cr. Breakdown — Operations: 99.6%, Vaccine: 0.4%, Infrastructure: 0.0%. Priority Tier: Medium Priority.",Medium Priority,"Increase vaccine stock by 401,574 doses. Maintain 34 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 2,150.69 Cr. Breakdown — Operations: 99.6%, Vaccine: 0.4%, Infrastructure: 0.0%. Priority Tier: Medium Priority."
Gujarat,"Increase vaccine stock by 9,981,235 doses. Maintain 844 cold chain units for distribution.","Build 103 new hospitals. Add 10,270 beds to meet WHO standard of 3 beds/1000 population.",Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring.,"Recommended total budget for 2028-29: Rs 44,729.54 Cr. Breakdown — Operations: 96.1%, Vaccine: 0.5%, Infrastructure: 3.5%. Priority Tier: Critical Priority.",Critical Priority,"Increase vaccine stock by 9,981,235 doses. Maintain 844 cold chain units for distribution. | Build 103 new hospitals. Add 10,270 beds to meet WHO standard of 3 beds/1000 population. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring. | Recommended total budget for 2028-29: Rs 44,729.54 Cr. Breakdown — Operations: 96.1%, Vaccine: 0.5%, Infrastructure: 3.5%. Priority Tier: Critical Priority."
Haryana,"Increase vaccine stock by 3,515,723 doses. Maintain 298 cold chain units for distribution.","Build 58 new hospitals. Add 5,754 beds to meet WHO standard of 3 beds/1000 population.",Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring.,"Recommended total budget for 2028-29: Rs 13,582.33 Cr. Breakdown — Operations: 93.1%, Vaccine: 0.5%, Infrastructure: 6.4%. Priority Tier: High Priority.",High Priority,"Increase vaccine stock by 3,515,723 doses. Maintain 298 cold chain units for distribution. | Build 58 new hospitals. Add 5,754 beds to meet WHO standard of 3 beds/1000 population. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring. | Recommended total budget for 2028-29: Rs 13,582.33 Cr. Breakdown — Operations: 93.1%, Vaccine: 0.5%, Infrastructure: 6.4%. Priority Tier: High Priority."
Himachal Pradesh,"Increase vaccine stock by 1,358,210 doses. Maintain 129 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 8,263.59 Cr. Breakdown — Operations: 99.6%, Vaccine: 0.4%, Infrastructure: 0.0%. Priority Tier: Medium Priority.",Medium Priority,"Increase vaccine stock by 1,358,210 doses. Maintain 129 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 8,263.59 Cr. Breakdown — Operations: 99.6%, Vaccine: 0.4%, Infrastructure: 0.0%. Priority Tier: Medium Priority."
Jammu and Kashmir,"Increase vaccine stock by 3,977,016 doses. Maintain 200 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 10,771.55 Cr. Breakdown — Operations: 99.5%, Vaccine: 0.5%, Infrastructure: 0.0%. Priority Tier: Medium Priority.",Medium Priority,"Increase vaccine stock by 3,977,016 doses. Maintain 200 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 10,771.55 Cr. Breakdown — Operations: 99.5%, Vaccine: 0.5%, Infrastructure: 0.0%. Priority Tier: Medium Priority."
Jharkhand,"Increase vaccine stock by 2,851,413 doses. Maintain 241 cold chain units for distribution.","Build 47 new hospitals. Add 4,618 beds to meet WHO standard of 3 beds/1000 population.",Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring.,"Recommended total budget for 2028-29: Rs 10,964.62 Cr. Breakdown — Operations: 93.1%, Vaccine: 0.5%, Infrastructure: 6.4%. Priority Tier: Medium Priority.",Medium Priority,"Increase vaccine stock by 2,851,413 doses. Maintain 241 cold chain units for distribution. | Build 47 new hospitals. Add 4,618 beds to meet WHO standard of 3 beds/1000 population. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | High vaccine-to-bed ratio indicates supply chain stress. Establish regional vaccine warehouses and strengthen transport fleet. Implement IoT-based cold chain monitoring. | Recommended total budget for 2028-29: Rs 10,964.62 Cr. Breakdown — Operations: 93.1%, Vaccine: 0.5%, Infrastructure: 6.4%. Priority Tier: Medium Priority."
Karnataka,"Increase vaccine stock by 9,169,389 doses. Maintain 775 cold chain units for distribution.",Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation.,Doctor availability meets WHO norms. Invest in specialist training and skill upgrades.,Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits.,"Recommended total budget for 2028-29: Rs 62,253.16 Cr. Breakdown — Operations: 99.7%, Vaccine: 0.3%, Infrastructure: 0.0%. Priority Tier: Critical Priority.",Critical Priority,"Increase vaccine stock by 9,169,389 doses. Maintain 775 cold chain units for distribution. | Hospital capacity meets projected demand. Focus on quality upgrades and NABH accreditation. | Doctor availability meets WHO norms. Invest in specialist training and skill upgrades. | Supply chain is manageable. Digitize inventory tracking with barcode/RFID system. Conduct quarterly stock audits. | Recommended total budget for 2028-29: Rs 62,253.16 Cr. Breakdown — Operations: 99.7%, Vaccine: 0.3%, Infrastructure: 0.0%. Priority Tier: Critical Priority."
